customer_id,first_name,last_name,date_of_birth,age,gender,marital_status,dependents,education,employment_status,employment_length_years,annual_income,income_category,housing_status,address,city,state,postal_code,country,phone,email,registration_date,bank_name,has_checking_account,has_savings_account,has_credit_card
CUST10000,Daniel,Hill,2000-07-12,24,Male,Single,0,High School,Full-time,3,56543,Average,Live with Parents,819 Johnson Course,New Carolyn,Glasgow City,94351,UK,(663) 794-0265 x423,jamesmichael@example.com,2023-10-20,US Bank,True,True,False
CUST10001,Joseph,Blair,1981-06-19,43,Female,Married,1,Master's Degree,Part-time,22,22658,Low,Own,495 Geraldine cliff,Port Keith,Colorado,31013,USA,(547)452-5534x1928,odixon@example.net,2025-03-12,PNC Bank,True,True,False
CUST10002,Jeffrey,Watts,1983-03-29,42,Prefer not to say,Married,0,Doctoral Degree,Full-time,21,130697,High,Own,4139 Lewis Parks Suite 724,Lake Anna,Kentucky,98413,USA,+1 (296) 532-8710,laurahenderson@example.org,2024-06-21,Bank of America,True,True,True
CUST10003,Margaret,Ferrell,1983-08-15,41,Prefer not to say,Single,0,Associate Degree,Full-time,14,48414,Below Average,Rent,184 Rodriguez Mews,Smithview,East Ayrshire,67043,UK,+1-948-293-2528x8095,natasha43@example.org,2023-03-22,Bank of America,True,True,False
CUST10004,Natalie,Miller,1951-09-13,73,Other,Widowed,0,Bachelor's Degree,Unemployed,0,5725,Low,Rent,78248 Brandt Plains,Lake Larry,Texas,85681,USA,(0151) 4960871,calebsmith@example.net,2024-01-15,Capital One,True,False,True
CUST10005,Brianna,Jones,1970-05-06,55,Male,Married,0,Associate Degree,Full-time,2,45942,Below Average,Own,51834 Lewis Curve,Sanchezfort,Caernarvonshire,12864,UK,+1-565-966-7010x65133,dwhite@example.org,2024-05-20,Regions Bank,True,False,True
CUST10006,Scott,Garcia,1978-07-17,46,Female,Married,0,High School,Unemployed,0,5942,Low,Own,26773 Barrera Expressway,South Arthurmouth,Maine,55945,USA,(872) 343-0980 x500,brianromero@example.org,2023-07-29,Ally Bank,True,True,True
CUST10007,Brooke,Hensley,1991-05-20,33,Prefer not to say,Single,0,Bachelor's Degree,Full-time,2,96641,Above Average,Rent,909 Robert Prairie,Sarahborough,Stirling,K3L5R8,UK,0306 999 0107,jonesjason@example.com,2024-07-24,Citi Bank,True,False,True
CUST10008,Sarah,Suarez,2001-10-07,23,Prefer not to say,Married,0,High School,Full-time,2,24381,Low,Live with Parents,498 Elizabeth Plaza Suite 124,Lake Angelaview,Warwickshire,N9J 8L5,UK,964-800-5242,rodriguezsierra@example.net,2025-01-29,Citi Bank,True,True,True
CUST10009,Amy,Jackson,1963-12-20,61,Other,Divorced,0,High School,Retired,31,16980,Low,Rent,5053 Elizabeth Knoll,Dicksonberg,Somerset,23707,UK,+44113 496 0256,josephcobb@example.org,2025-04-12,Discover Bank,True,False,True
CUST10010,Ian,Morton,1961-03-29,64,Male,Domestic Partnership,0,Doctoral Degree,Retired,23,34166,Below Average,Own,0 Tracey isle,Port Rickystad,Quebec,Y2N5A3,Canada,1-201-965-5698,conorthomas@example.com,2023-11-13,Regions Bank,True,True,True
CUST10011,April,Mcdaniel,1972-09-11,52,Other,Separated,0,Bachelor's Degree,Full-time,32,59662,Average,Own,"Flat 5
Adams crossing",Williamchester,Massachusetts,53244,USA,1-782-366-2994,torresjason@example.net,2022-05-15,Bank of America,True,True,True
CUST10012,Diana,Williams,1956-08-12,68,Female,Single,0,Bachelor's Degree,Full-time,35,29478,Below Average,Rent,214 Davis Terrace Apt. 433,North Johnfort,South Carolina,10046,USA,+44(0)141 4960936,psmith@example.net,2024-11-25,Discover Bank,True,True,True
CUST10013,Patricia,Osborne,1982-05-02,43,Other,Separated,0,Some College,Part-time,0,11718,Low,Rent,83172 Contreras Points Suite 798,Bartlettfort,New Hampshire,34473,USA,+1-348-473-4714x3455,patrickhernandez@example.org,2022-12-21,Ally Bank,True,True,True
CUST10014,Robert,Freeman,1980-05-26,44,,Married,1,Bachelor's Degree,Full-time,17,64284,Average,Own,9096 Smith Knoll Suite 668,South Jeffrey,Nova Scotia,S5 2TF,Canada,(706) 990-1627 x204,sandramills@example.com,2023-12-15,Wells Fargo,False,True,False
CUST10015,Emily,Lee,1950-01-01,75,Male,Married,0,Associate Degree,Unemployed,0,4096,Low,Own,3100 James Brooks,East David,Texas,15494,USA,(274) 529-9124,hickmanbarbara@example.com,2024-12-11,Ally Bank,True,True,True
CUST10016,Joe,Vargas,1993-06-23,31,Prefer not to say,Married,2,Bachelor's Degree,Full-time,4,48484,Below Average,Live with Parents,919 Michael Meadow Suite 185,Shortville,Nova Scotia,YO7Y 6GW,Canada,1-298-776-9453,dsmith@example.net,2024-10-19,First National Bank,True,True,False
CUST10017,Elizabeth,Day,1972-06-08,52,Other,Married,1,High School,Full-time,19,20000,Low,Own,45 Shaw squares,New Karlland,New Brunswick,V8Y8K8,Canada,743-863-4957,michael74@example.com,2024-09-24,Chase,True,True,False
CUST10018,Dale,Griffith,2000-05-11,24,Male,Widowed,0,Some College,Self-employed,2,43076,Below Average,Rent,37498 Hooper Village,Jeremyburgh,West Midlands,93302,UK,540 084 2710,lwilliams@example.org,2025-04-05,PNC Bank,True,True,True
CUST10019,Lesley,Short,2003-07-11,21,Prefer not to say,Single,0,Some College,Part-time,2,34312,Below Average,Live with Parents,29413 Angela Mall,Port Alexandra,New Hampshire,58529,USA,(0909) 8790964,lynchjody@example.org,2023-02-26,Ally Bank,True,True,True
